gene,cases_synonymous,cases_missense,cases_PTVs,control_synonymous,control_missense,control_PTVs,sample_synonymous,sample_missense,sample_PTVs,pval_synonymous,OR_synonymous,lowci_synonymous,highci_synonymous,pval_missense,OR_missense,lowci_missense,highci_missense,pval_PTVs,OR_PTVs,lowci_PTVs,highci_PTVs,cases_missense_MPC>=2,control_missense_MPC>=2,sample_missense_MPC>=2,pval_missense_MPC>=2,OR_missense_MPC>=2,lowci_missense_MPC>=2,highci_missense_MPC>=2
A1BG,1,3,0,0,0,0,1,3,0,0.3301717508331197,inf,0.052018464830419324,inf,0.03597442136310939,inf,0.8385372201147251,inf,,,,,,,,,,,
A1CF,4,0,0,1,0,0,5,0,0,0.04369005683308515,8.1207798198385,0.8032690926837996,399.203114621839,,,,,,,,,,,,,,,
A2M,8,21,0,1,3,0,9,24,0,0.0008941761120041015,16.258694234608782,2.1784503892312044,719.0997339648587,4.935943743199683e-08,14.27143875960265,4.25717424856448,74.75774983677462,,,,,,,,,,,
A2ML1,5,20,2,1,3,0,5,23,2,0.01704090894186609,10.156561252304645,1.1356262876055834,479.2051644135051,1.316587581345644e-07,13.588586457711985,4.0263425132711,71.443264750841,0.108994485854413,inf,0.3810289196999768,inf,,,,,,,
A4GALT,3,4,0,1,1,0,4,5,0,0.1082830083029593,6.089065976923362,0.4887365991452925,319.18343169401834,0.04369005683308515,8.1207798198385,0.8032690926837996,399.203114621839,,,,,,,,,,,
A4GNT,0,4,0,0,1,0,0,5,0,,,,,0.04369005683308515,8.1207798198385,0.8032690926837996,399.203114621839,,,,,,,,,,,
AAAS,5,4,1,1,0,0,6,4,1,0.01704090894186609,10.156561252304645,1.1356262876055834,479.2051644135051,0.011871559049826107,inf,1.3398046898434977,inf,0.3301717508331197,inf,0.052018464830419324,inf,,,,,,,
AACS,5,9,1,0,1,0,5,10,1,0.003916934604011342,inf,1.860234948898496,inf,0.00032590626526179137,18.295350140943587,2.533494880794694,799.0242016913644,0.3301717508331197,inf,0.052018464830419324,inf,,,,,,,
AADAC,1,8,0,0,0,0,1,8,0,0.3301717508331197,inf,0.052018464830419324,inf,0.0001405430890895745,inf,3.467511955277286,inf,,,,,,,,,,,
AADACL2,1,0,0,0,0,0,1,0,0,0.3301717508331197,inf,0.052018464830419324,inf,,,,,,,,,,,,,,,
AADACL3,1,3,0,0,0,0,1,3,0,0.3301717508331197,inf,0.052018464830419324,inf,0.03597442136310939,inf,0.8385372201147251,inf,,,,,,,,,,,
AADACL4,3,2,0,1,0,0,4,2,0,0.1082830083029593,6.089065976923362,0.4887365991452925,319.18343169401834,0.108994485854413,inf,0.3810289196999768,inf,,,,,,,,,,,
AADAT,1,4,0,0,0,1,1,4,1,0.3301717508331197,inf,0.052018464830419324,inf,0.011871559049826107,inf,1.3398046898434977,inf,1.0,0.0,0.0,79.02388266631878,,,,,,,
AAED1,0,1,0,0,0,0,0,1,0,,,,,0.3301717508331197,inf,0.052018464830419324,inf,,,,,,,,,,,
AAGAB,1,2,0,0,1,0,1,3,0,0.3301717508331197,inf,0.052018464830419324,inf,0.2550346148370204,4.058485292018265,0.21121917126250336,239.14629870833855,,,,,,,,,,,
AAK1,1,0,0,0,1,0,1,1,0,0.3301717508331197,inf,0.052018464830419324,inf,1.0,0.0,0.0,79.02388266631878,,,,,,,,,,,
