gene,cases_synonymous,cases_missense,cases_PTVs,control_synonymous,control_missense,control_PTVs,sample_synonymous,sample_missense,sample_PTVs
RPP38,8,37,1,6,83,3,14,120,4
POLR3A,249,56,1,462,154,8,684,209,9
RPP30,9,29,0,19,50,1,28,79,1
CLP1,20,21,0,15,14,2,35,35,2
POP5,3,6,0,1,16,4,4,22,4
ANG,8,31,0,15,67,0,23,92,0
RPP25,1,4,0,2,3,0,3,7,0
GTF3C1,112,119,0,167,197,3,273,314,3
ELAC2,28,45,9,33,71,9,60,116,15
ELAC1,3,45,0,18,126,0,21,171,0
POP4,3,31,1,3,32,5,6,63,6
XRN2,18,87,0,35,219,3,53,305,3
SSB,8,10,0,10,35,0,18,35,0
TRMT10C,13,7,0,18,15,1,31,22,1
TSEN2,36,48,2,43,41,4,79,89,6
XRN1,21,69,1,29,137,3,50,206,4
TRNT1,1,40,9,8,67,21,9,107,30
RPP14,3,13,3,4,35,0,7,47,3
RPP21,35,51,1,55,46,0,90,97,1
RPP40,16,23,0,27,45,2,43,68,2
POP7,4,31,0,5,92,1,9,123,1
BRF2,13,60,7,47,112,4,60,170,11
POP1,82,78,9,154,147,14,231,223,23
HSD17B10,1,3,0,2,10,0,3,13,0
